Year,Value
198305,0.33
198306,0.19
198307,0.34
198308,0.52
198309,0.50
198310,0.27
198311,1.00
198312,0.33
198401,0.37
198402,0.00
198403,0.47
198404,0.09
198405,0.60
198406,0.07
198407,0.06
198408,0.14
198409,-0.09
198410,0.05
198411,-0.22
198412,-0.73
198501,0.32
198502,-0.35
198503,0.29
198504,0.28
198505,0.30
198506,0.11
198507,-0.11
198508,0.20
198509,-0.05
198510,0.05
198511,0.01
198512,0.21
198601,0.77
198602,0.54
198603,0.63
198604,0.53
198605,0.44
198606,0.31
198607,0.06
198608,0.18
198609,0.03
198610,0.07
198611,-0.05
198612,0.17
198701,0.48
198702,1.17
198703,0.13
198704,0.33
198705,0.43
198706,0.31
198707,0.55
198708,0.33
198709,0.48
198710,0.20
198711,0.10
198712,0.91
198801,0.81
198802,0.37
198803,0.75
198804,0.71
198805,0.56
198806,0.64
198807,0.53
198808,0.46
198809,0.52
198810,0.48
198811,0.40
198812,0.83
198901,0.21
198902,0.49
198903,0.66
198904,0.34
198905,0.37
198906,0.22
198907,0.29
198908,0.27
198909,0.27
198910,0.37
198911,0.17
198912,0.74
199001,0.57
199002,0.61
199003,1.68
199004,0.80
199005,0.60
199006,0.54
199007,0.28
199008,0.43
199009,0.31
199010,0.60
199011,0.83
199012,0.70
199101,0.70
199102,0.83
199103,0.42
199104,0.84
199105,0.47
199106,0.72
199107,0.47
199108,0.41
199109,0.48
199110,0.41
199111,0.38
199112,0.30
199201,0.99
199202,0.83
199203,0.75
199204,0.28
199205,0.29
199206,0.14
199207,-0.19
199208,-0.05
199209,-0.25
199210,-0.10
199211,-0.14
199212,0.47
199301,0.68
199302,0.70
199303,0.83
199304,0.38
199305,0.38
199306,0.32
199307,0.28
199308,0.21
199309,0.03
199310,0.24
199311,-0.31
199312,0.52
199401,0.48
199402,-0.29
199403,0.73
199404,0.58
199405,0.67
199406,0.65
199407,0.33
199408,0.31
199409,0.48
199410,0.66
199411,0.72
199412,0.54
199501,1.05
199502,1.60
199503,0.83
199504,0.63
199505,0.49
199506,0.76
199507,0.53
199508,0.81
199509,0.67
199510,0.77
199511,0.76
199512,0.51
199601,0.20
199602,0.79
199603,0.33
199604,0.10
199605,0.58
199606,0.37
199607,0.44
199608,0.37
199609,0.11
199610,0.13
199611,0.29
199612,0.56
199701,0.52
199702,0.75
199703,0.79
199704,0.61
199705,0.44
199706,0.65
199707,0.49
199708,0.60
199709,0.77
199710,0.81
199711,0.59
199712,0.75
199801,0.73
199802,1.70
199803,0.93
199804,1.24
199805,0.99
199806,1.00
199807,1.14
199808,1.11
199809,0.83
199810,0.73
199811,0.35
199812,1.13
199901,1.02
199902,1.71
199903,0.38
199904,0.79
199905,0.64
199906,0.64
199907,0.68
199908,0.56
199909,0.67
199910,0.64
199911,0.63
199912,1.21
200001,0.52
200002,1.09
200003,1.09
200004,1.34
200005,0.74
200006,0.64
200007,0.54
200008,0.68
200009,0.52
200010,0.22
200011,0.07
200012,0.23
200101,0.76
200102,0.54
200103,1.19
200104,0.97
200105,1.04
200106,0.71
200107,0.83
200108,0.91
200109,0.70
200110,0.60
200111,1.34
200112,0.78
200201,1.42
200202,1.72
200203,1.59
200204,0.79
200205,0.80
200206,0.78
200207,0.99
200208,0.84
200209,0.85
200210,0.55
200211,0.96
200212,0.42
200301,1.35
200302,0.96
200303,0.87
200304,0.86
200305,0.97
200306,0.71
200307,0.75
200308,0.89
200309,0.87
200310,1.16
200311,0.70
200312,1.48
200401,0.96
200402,1.32
200403,1.31
200404,0.87
200405,0.49
200406,0.58
200407,0.41
200408,0.50
200409,0.67
200410,0.82
200411,1.42
200412,0.64
200501,1.10
200502,0.75
200503,1.35
200504,1.32
200505,1.00
200506,1.04
200507,0.95
200508,0.81
200509,1.12
200510,1.21
200511,1.46
200512,1.15
200601,0.70
200602,1.32
200603,1.18
200604,0.75
200605,0.69
200606,1.07
200607,0.91
200608,0.96
200609,0.89
200610,1.08
200611,0.89
200612,1.50
200701,1.97
200702,1.16
200703,1.26
200704,1.48
200705,1.12
200706,0.78
200707,0.83
200708,0.91
200709,1.03
200710,1.03
200711,1.12
200712,1.01
200801,0.24
200802,0.62
200803,1.88
200804,0.84
200805,0.84
200806,0.81
200807,0.88
200808,0.76
200809,0.72
200810,1.24
200811,1.34
200812,0.84
200901,1.07
200902,1.05
200903,1.03
200904,1.09
200905,0.77
200906,0.79
200907,0.74
200908,0.93
200909,1.17
200910,0.85
200911,1.01
200912,0.60
201001,1.04
201002,1.19
201003,1.57
201004,1.44
201005,1.22
201006,1.18
201007,1.15
201008,1.05
201009,0.92
201010,1.12
201011,1.58
201012,0.60
201101,0.61
201102,0.60
201103,1.01
201104,1.22
201105,0.83
201106,1.04
201107,1.05
201108,1.05
201109,0.99
201110,1.15
201111,0.71
201112,1.01
201201,0.64
201202,0.53
201203,0.90
201204,1.48
201205,1.35
201206,1.24
201207,1.03
201208,0.97
201209,1.12
201210,1.05
201211,1.15
201212,0.32
201301,1.03
201302,1.22
201303,1.10
201304,0.80
201305,1.14
201306,1.11
201307,0.82
201308,0.88
201309,0.96
201310,0.96
201311,1.50
201312,1.11
201401,1.15
201402,0.36
201403,1.38
201404,1.36
201405,1.20
201406,1.01
201407,0.79
201408,1.06
201409,0.97
201410,1.02
201411,0.74
201412,1.36
201501,1.49
201502,1.70
201503,1.70
201504,1.18
201505,1.33
201506,1.31
201507,1.06
201508,1.20
201509,1.25
201510,1.49
201511,1.39
201512,1.99
201601,1.69
201602,2.42
201603,2.53
201604,1.97
201605,1.32
201606,1.24
201607,1.18
201608,1.40
201609,1.39
201610,0.89
201611,1.10
201612,1.31
201701,1.65
201702,1.78
201703,1.97
201704,1.42
201705,1.30
201706,1.20
201707,1.22
201708,1.27
201709,1.26
201710,1.12
201711,1.18
201712,1.57
201801,1.18
201802,1.21
201803,1.62
201804,1.35
201805,1.26
201806,1.12
201807,1.19
201808,1.05
201809,1.09
201810,1.33
201811,0.92
201812,1.25
201901,1.64
201902,1.18
201903,2.01
201904,1.58
201905,1.18
201906,1.32
201907,1.18
201908,1.13
201909,1.37
201910,1.46
